0101JAMMU & KASHMIR               Kupwara 01
2317MADHYA PRADESH                Sidhi 17
2318MADHYA PRADESH                Neemuch * 18
2319MADHYA PRADESH                Mandsaur 19
2320MADHYA PRADESH                Ratlam 20
2321MADHYA PRADESH                Ujjain 21
2322MADHYA PRADESH                Shajapur 22
2323MADHYA PRADESH                Dewas 23
2324MADHYA PRADESH                Jhabua 24
2325MADHYA PRADESH                Dhar 25
2326MADHYA PRADESH                Indore 26
2327MADHYA PRADESH                West Nimar 27
2328MADHYA PRADESH                Barwani * 28
2329MADHYA PRADESH                East Nimar 29
2330MADHYA PRADESH                Rajgarh 30
2331MADHYA PRADESH                Vidisha 31
2332MADHYA PRADESH                Bhopal 32
2333MADHYA PRADESH                Sehore 33
2334MADHYA PRADESH                Raisen 34
2335MADHYA PRADESH                Betul 35
2336MADHYA PRADESH                Harda * 36
2337MADHYA PRADESH                Hoshangabad 37
2338MADHYA PRADESH                Katni * 38
2339MADHYA PRADESH                Jabalpur 39
2340MADHYA PRADESH                Narsimhapur 40
2341MADHYA PRADESH                Dindori * 41
2342MADHYA PRADESH                Mandla 42
2343MADHYA PRADESH                Chhindwara 43
2344MADHYA PRADESH                Seoni 44
2345MADHYA PRADESH                Balaghat 45
2346MADHYA PRADESH                Ashok Nagar
2347MADHYA PRADESH                Anuppur
2348MADHYA PRADESH                Burhanpor
2401GUJARAT                       Kachchh 01
2402GUJARAT                       Banas Kantha 02
2403GUJARAT                       Patan * 03
2404GUJARAT                       Mahesana 04
2405GUJARAT                       Sabar Kantha 05
2406GUJARAT                       Gandhinagar 06
2407GUJARAT                       Ahmadabad 07
2408GUJARAT                       Surendranagar 08
2409GUJARAT                       Rajkot 09
2410GUJARAT                       Jamnagar 10
2411GUJARAT                       Porbandar * 11
2412GUJARAT                       Junagadh 12
2413GUJARAT                       Amreli 13
2414GUJARAT                       Bhavnagar 14
2415GUJARAT                       Anand * 15
2416GUJARAT                       Kheda 16
2417GUJARAT                       Panch Mahals 17
2418GUJARAT                       Dohad * 18
2419GUJARAT                       Vadodara 19
2420GUJARAT                       Narmada * 20
2421GUJARAT                       Bharuch 21
2422GUJARAT                       Surat 22
2423GUJARAT                       The Dangs 23
2424GUJARAT                       Navsari * 24
2425GUJARAT                       Valsad 25
2501DAMAN & DIU                   Diu 01
2502DAMAN & DIU                   Daman 02
2601DADRA & NAGAR HAVELI          Dadra & Nagar Haveli 01
2701MAHARASHTRA                   Nandurbar * 01
2702MAHARASHTRA                   Dhule 02
2703MAHARASHTRA                   Jalgaon 03
2704MAHARASHTRA                   Buldana 04
2705MAHARASHTRA                   Akola 05
2706MAHARASHTRA                   Washim * 06
2707MAHARASHTRA                   Amravati 07
2708MAHARASHTRA                   Wardha 08
2709MAHARASHTRA                   Nagpur 09
2710MAHARASHTRA                   Bhandara 10
2711MAHARASHTRA                   Gondiya * 11
2712MAHARASHTRA                   Gadchiroli 12
2713MAHARASHTRA                   Chandrapur 13
2714MAHARASHTRA                   Yavatmal 14
2715MAHARASHTRA                   Nanded 15
2716MAHARASHTRA                   Hingoli * 16
2717MAHARASHTRA                   Parbhani 17
2718MAHARASHTRA                   Jalna 18
2719MAHARASHTRA                   Aurangabad 19
2720MAHARASHTRA                   Nashik 20
2721MAHARASHTRA                   Thane 21
2722MAHARASHTRA                   Mumbai  * 22
2724MAHARASHTRA                   Raigarh 24
2725MAHARASHTRA                   Pune 25
2726MAHARASHTRA                   Ahmadnagar 26
2727MAHARASHTRA                   Bid 27
2728MAHARASHTRA                   Latur 28
2729MAHARASHTRA                   Osmanabad 29
2730MAHARASHTRA                   Solapur 30
2731MAHARASHTRA                   Satara 31
2732MAHARASHTRA                   Ratnagiri 32
2733MAHARASHTRA                   Sindhudurg 33
2734MAHARASHTRA                   Kolhapur 34
2735MAHARASHTRA                   Sangli 35
2801ANDHRA PRADESH                Adilabad 01
2802ANDHRA PRADESH                Nizamabad 02
2803ANDHRA PRADESH                Karimnagar 03
2804ANDHRA PRADESH                Medak 04
2805ANDHRA PRADESH                Hyderabad 05
2806ANDHRA PRADESH                Rangareddy 06
2807ANDHRA PRADESH                Mahbubnagar 07
2808ANDHRA PRADESH                Nalgonda 08
2809ANDHRA PRADESH                Warangal 09
2810ANDHRA PRADESH                Khammam 10
2811ANDHRA PRADESH                Srikakulam 11
2812ANDHRA PRADESH                Vizianagaram 12
2813ANDHRA PRADESH                Visakhapatnam 13
2814ANDHRA PRADESH                East Godavari 14
2815ANDHRA PRADESH                West Godavari 15
2816ANDHRA PRADESH                Krishna 16
2817ANDHRA PRADESH                Guntur 17
2818ANDHRA PRADESH                Prakasam 18
2819ANDHRA PRADESH                Nellore 19
2820ANDHRA PRADESH                Cuddapah 20
2821ANDHRA PRADESH                Kurnool 21
2822ANDHRA PRADESH                Anantapur 22
2823ANDHRA PRADESH                Chittoor 23
2901KARNATAKA                     Belgaum 01
2902KARNATAKA                     Bagalkot * 02
2903KARNATAKA                     Bijapur 03
2904KARNATAKA                     Gulbarga 04
2905KARNATAKA                     Bidar 05
2906KARNATAKA                     Raichur 06
2907KARNATAKA                     Koppal * 07
2908KARNATAKA                     Gadag * 08
2909KARNATAKA                     Dharwad 09
2910KARNATAKA                     Uttara Kannada 10
2911KARNATAKA                     Haveri * 11
2912KARNATAKA                     Bellary 12
2913KARNATAKA                     Chitradurga 13
2914KARNATAKA                     Davanagere * 14
2915KARNATAKA                     Shimoga 15
2916KARNATAKA                     Udupi * 16
2917KARNATAKA                     Chikmagalur 17
2918KARNATAKA                     Tumkur 18
2919KARNATAKA                     Kolar 19
2920KARNATAKA                     Bangalore 20
2921KARNATAKA                     Bangalore Rural 21
2922KARNATAKA                     Mandya 22
2923KARNATAKA                     Hassan 23
2924KARNATAKA                     Dakshina Kannada 24
2925KARNATAKA                     Kodagu 25
2926KARNATAKA                     Mysore 26
2927KARNATAKA                     Chamarajanagar * 27
3001GOA                           North Goa 01
3002GOA                           South Goa 02
3101LAKSHADWEEP                   Lakshadweep 01
3201KERALA                        Kasaragod 01
3202KERALA                        Kannur 02
3203KERALA                        Wayanad 03
3204KERALA                        Kozhikode 04
3205KERALA                        Malappuram 05
3206KERALA                        Palakkad 06
3207KERALA                        Thrissur 07
3208KERALA                        Ernakulam 08
3209KERALA                        Idukki 09
3210KERALA                        Kottayam 10
3211KERALA                        Alappuzha 11
3212KERALA                        Pathanamthitta 12
3213KERALA                        Kollam 13
3214KERALA                        Thiruvananthapuram 14
3301TAMIL NADU                    Thiruvallur 01
3302TAMIL NADU                    Chennai 02
3303TAMIL NADU                    Kancheepuram 03
3304TAMIL NADU                    Vellore 04
3305TAMIL NADU                    Dharmapuri 05
3306TAMIL NADU                    Tiruvannamalai 06
3307TAMIL NADU                    Viluppuram 07
3308TAMIL NADU                    Salem 08
3309TAMIL NADU                    Namakkal * 09
3310TAMIL NADU                    Erode 10
3311TAMIL NADU                    The Nilgiris 11
3312TAMIL NADU                    Coimbatore 12
3313TAMIL NADU                    Dindigul 13
3314TAMIL NADU                    Karur * 14
3315TAMIL NADU                    Tiruchirappalli 15
3316TAMIL NADU                    Perambalur * 16
3317TAMIL NADU                    Ariyalur * 17
3318TAMIL NADU                    Cuddalore 18
3319TAMIL NADU                    Nagapattinam * 19
3320TAMIL NADU                    Thiruvarur 20
3321TAMIL NADU                    Thanjavur 21
3322TAMIL NADU                    Pudukkottai 22
3323TAMIL NADU                    Sivaganga 23
3324TAMIL NADU                    Madurai 24
3325TAMIL NADU                    Theni * 25
3326TAMIL NADU                    Virudhunagar 26
